OBJECTID,GEOID10,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
22,06059086501,29,1536,1382400.000000000000000,8.749075889587402,10.090823173522949,1.341747283935547,9.281791448593140,0.353495680914772,14256.831665039062500
23,06059086402,30,1377,1239300.000000000000000,8.833868026733398,9.774487495422363,0.940619468688965,9.213247849098044,0.313726534466380,12686.642288208007812
24,06059086702,34,1265,1138500.000000000000000,9.323874473571777,10.001251220703125,0.677376747131348,9.716340901823383,0.169345532088962,12291.171240806579590
25,06059110104,35,1980,1782000.000000000000000,9.406370162963867,9.915785789489746,0.509415626525879,9.659671336954290,0.136646594765513,19126.149247169494629
26,06059011504,36,2068,1861200.000000000000000,9.032957077026367,10.031785011291504,0.998827934265137,9.513387583671733,0.238353014761124,19673.685523033142090
27,06059011300,37,1877,1689300.000000000000000,9.275674819946289,10.184997558593750,0.909322738647461,9.648672801989727,0.166293501332214,18110.558849334716797
28,06059011401,38,1585,1426500.000000000000000,8.904893875122070,10.285642623901367,1.380748748779297,9.480221767004355,0.275203327476687,15026.151500701904297
29,06059001506,39,4220,3798000.000000000000000,7.305529117584229,9.955527305603027,2.649998188018799,8.665562212071713,0.577882219129999,36568.672534942626953
30,06059087405,40,1315,1183500.000000000000000,8.549252510070801,9.604945182800293,1.055692672729492,9.140598645228398,0.251372732490491,12019.887218475341797
31,06059087403,41,687,618300.000000000000000,9.153270721435547,9.848152160644531,0.694881439208984,9.581918179208014,0.146027888349166,6582.777789115905762
32,06059011502,42,1467,1320300.000000000000000,9.050983428955078,9.938279151916504,0.887295722961426,9.471057482292316,0.226898954491391,13894.041326522827148
33,06059011403,43,1654,1488600.000000000000000,8.834435462951660,9.736647605895996,0.902212142944336,9.469691920020992,0.146936934626865,15662.870435714721680
34,06059110603,46,2090,1881000.000000000000000,9.020249366760254,9.977266311645508,0.957016944885254,9.549229698089892,0.252275119904457,19957.890069007873535
35,06059110116,47,1360,1224000.000000000000000,9.473993301391602,10.140522956848145,0.666529655456543,9.843893569357254,0.172321145992528,13387.695254325866699
36,06059110102,48,1718,1546200.000000000000000,9.506751060485840,10.249967575073242,0.743216514587402,9.823151879871267,0.133689211403716,16876.174929618835449
37,06059021802,49,4787,4308300.000000000000000,7.836377620697021,9.210537910461426,1.374160289764404,8.746196985294556,0.218523789819315,41868.044968605041504
38,06059087701,50,1458,1312200.000000000000000,8.739105224609375,9.301086425781250,0.561981201171875,9.079464574246087,0.144828568782934,13237.859349250793457
39,06059087103,51,2214,1992600.000000000000000,8.685031890869141,9.599454879760742,0.914422988891602,9.161516364458562,0.157908217993787,20283.597230911254883
40,06059087102,52,1506,1355400.000000000000000,9.090409278869629,9.771999359130859,0.681590080261230,9.528057048361932,0.164543510918299,14349.253914833068848
41,06059086306,57,2118,1906200.000000000000000,8.036933898925781,9.518490791320801,1.481556892395020,8.902515787353371,0.417832560827460,18855.528437614440918
42,06059076204,58,1985,1786500.000000000000000,8.154609680175781,8.921440124511719,0.766830444335938,8.489701255683034,0.144984385830861,16852.056992530822754
43,06059110203,60,1424,1281600.000000000000000,9.059301376342773,9.575953483581543,0.516652107238770,9.264205328534159,0.123834289729307,13192.228387832641602
44,06059021815,61,18903,17012700.000000000000000,7.278198242187500,9.702352523803711,2.424154281616211,8.115425872732104,0.409174040515288,153405.895272254943848
